parcel_id,latitude,longitude
"0001D00257000000","40.4412946265","-80.0005095045"
"0023F00311000000","40.4578856195","-80.0105907818"
"0050E00119000000","40.4675303287","-79.9462306766"
"0008F00118000000","40.4489952397","-80.0086545648"
"0060M00182000000","40.3985364911","-79.9844098559"
"0051R00150000000","40.4546013544","-79.9393353302"
"0008G00300000000","40.4496846931","-80.0066868595"
"0029J00120000000","40.4276700429","-79.9648273521"
"0023K00355000000","40.4563499203","-80.0087252387"
"0052D00320000000","40.4514265115","-79.9336227948"
"0055S00147000000","40.4150707047","-79.9346385939"
"0052P00160000000","40.4438805466","-79.9441158756"
"0083A00155000000","40.4714054642","-79.9295745766"
"0048F00004000000","40.4697322913","-79.9785810378"
"0083G00060000000","40.4680415618","-79.9235776586"
"0009N00239000000","40.4448811619","-79.9981751649"
"0124A00174000000","40.471426441","-79.915428704"
"0050P00209000000","40.464508809","-79.9421056235"
"0014H00065000000","40.4205602134","-79.9860788164"
"0175J00065000000","40.4478205715","-79.8981034478"
"0008C00236000500","40.4517047116","-80.0040325032"
"0028D00050000000","40.4408307268","-79.9533222866"
"0027B00215000000","40.4509182414","-79.9578039471"
"0002M00070000000","40.4360938132","-79.9853753862"
"0051L00177000000","40.4574726961","-79.9374952111"
"0001H00030000000","40.4399201571","-80.0035680945"
"0022B00290000000","40.4603007292","-80.0248377594"
"0041G00023000000","40.4494843984","-80.0576786882"
"0001C00167000000","40.4408226171","-80.0047064017"
"0001C00058000000","40.442773067","-80.0038598636"
"0085A00006000000","40.4504203299","-79.932154406"
"0045E00245000000","40.4674095132","-80.030701779"
"0008D00050000000","40.4521847532","-80.0028026941"
"0162S00205000000","40.4934827529","-80.0177994817"
"0051A00241000000","40.4614048375","-79.9463725557"
"0013C00148000000","40.4223418375","-79.9713089249"
"0024K00127000000","40.45568903","-79.994449153"
"0001D00012000000","40.4418955326","-80.0034461455"
"0052J00138000000","40.446701187","-79.9480487037"
"0041B00102000000","40.4514309319","-80.0610578451"
"0125L00033000000","40.4567752942","-79.9036730346"
"0001C00167000000","40.4408226171","-80.0047064017"
"0008D00050000000","40.4521847532","-80.0028026941"
"0049J00299000000","40.4659799077","-79.963535539"
"0051R00023000000","40.4528156136","-79.9402668125"
"0004L00190000000","40.4277045304","-80.0046587221"
"0095F00022000000","40.3902150795","-79.9950052754"
"0011D00043000000","40.4411319958","-79.9672122877"
"0032B00297000000","40.4131074954","-79.9760613199"
"0086R00105000000","40.4341639485","-79.9232099111"
"0060H00268000000","40.3998997937","-79.985585329"
"0126G00312000000","40.4481731031","-79.9048768219"
"0006M00191000000","40.4365018949","-80.0191011764"
"0052F00186000000","40.4494327594","-79.9423302541"
"0081D00110000000","40.4803256223","-79.9346388672"
"0002F00220000001","40.4398189233","-79.9950543043"
"0080H00211000000","40.4786412317","-79.9508651862"
"0082J00165000000","40.475656211","-79.9306737984"
"0045F00160000000","40.467435978","-80.0260953645"
"0002M00070000000","40.4360938132","-79.9853753862"
"0085E00074000000","40.4498732681","-79.9303832033"
"0049F00125000000","40.4690384589","-79.9608360596"
"0022K00327000000","40.4557006988","-80.0265284661"
"0052N00008000000","40.4455308997","-79.9491586328"
"0051N00223000000","40.4537325497","-79.9469985539"
"0001H00030000000","40.4399201571","-80.0035680945"
"0008F00181000000","40.447846977","-80.0096368756"
"0007B00152000000","40.4511629128","-80.0251860814"
"0023C00112000000","40.4622985833","-80.0060811737"
"0086D00062000000","40.4429649734","-79.9195234457"
"0001D00012000000","40.4418955326","-80.0034461455"
"0023K00374000000","40.4561894414","-80.0081787719"
"0069E00225000000","40.4444380651","-80.0882959706"
"0024E00362000000","40.4599417261","-79.9967949779"
"0040C00248000000","40.442394523","-80.0537126262"
"0009N00239000000","40.4448811619","-79.9981751649"
"0001D0017300AC00","40.441442142","-80.0017605409"
"0002K00154000000","40.435930282","-79.9930705917"
"0086R00044000000","40.4349997457","-79.9231172888"
"0050P00058000100","40.4629194962","-79.9449358342"
"0025R00057000000","40.4538824342","-79.9744965839"
"0035L00074000000","40.4068887084","-80.0232725556"
"0121N00065000000","40.4820167237","-79.9296084964"
"0171F00019000000","40.4871226119","-79.8928229029"
"0025J00049000000","40.4561914637","-79.9812618033"
"0051N00223000000","40.4537325497","-79.9469985539"
"0008J00030000000","40.4461591835","-80.0159089105"
"0018B00107000000","40.4318670978","-80.0447609177"
"0034N00020000000","40.405494802","-80.0157894802"
"0050N00259000000","40.4644027017","-79.9462147367"
"0086H00052000000","40.4382819992","-79.9196318161"
"0027H00078000000","40.448280121","-79.9520074267"
"0010C00100000000","40.4519383135","-79.9709693603"
"0026S00057000000","40.4550951133","-79.9536541871"
"0081F00228000000","40.4792573809","-79.9415234581"
"0008F00118000000","40.4489952397","-80.0086545648"
"0077K00251000000","40.4753357981","-80.0105985446"
"0029J00120000000","40.4276700429","-79.9648273521"
"0002B00051000000","40.4413703466","-79.994859348"
"0049J00102000000","40.4663255464","-79.9651522052"
"0080N00147000000","40.4734262505","-79.9628755973"
"0004E00143000000","40.4299569597","-80.0121302066"
"0001G00239000000","40.4391332671","-80.0062348098"
"0024E00116000000","40.4578023716","-79.9964011566"
"0002M00070000000","40.4360938132","-79.9853753862"
"0008K00030000000","40.4462851009","-80.0079043955"
"0174P00293000000","40.4543230592","-79.892950226"
"0004C00063000000","40.4318527902","-80.0051038566"
"0087R00103000000","40.4248426676","-79.9203618242"
"0014B00314000000","40.4220983124","-79.9927218308"
"0009G00170000000","40.4486022823","-79.9903585214"
"0090S00118000000","40.3965126159","-79.9172901874"
"0126J00182000000","40.4469606267","-79.9131387852"
"0084R00200000000","40.4540439313","-79.9223060101"
"0049F00278000000","40.4686508703","-79.9582383579"
"0054P00209000000","40.4247735857","-79.9433730274"
"0008S00074000000","40.4439471237","-80.0018658481"
"0087D00262000000","40.4327383817","-79.9171622024"
"0055G00205000000","40.4200124632","-79.9379523856"
"0012N00236000000","40.4235960502","-79.9790182989"
"0014G00086000000","40.4189184818","-79.9891208675"
"0051A00241000000","40.4614048375","-79.9463725557"
"0176J00026000000","40.4373018525","-79.895738946"
"0231R00253000000","40.454650633","-79.8710652022"
"0002A00275000000","40.4421320291","-79.9955424552"
"0045H00206000000","40.4673793637","-80.018092716"
"0001H00030000000","40.4399201571","-80.0035680945"
"0013K00029000000","40.4182851706","-79.9761750003"
"0023D00188000000","40.4615127396","-80.00249699"
"0051G00055000000","40.458378527","-79.9405714232"
"0050N00201000000","40.4642646795","-79.9473595588"
"0017P00057000000","40.4144540366","-80.0433476516"
"0083P00290000000","40.4633797899","-79.9275845482"
"0025A00154000000","40.4618260526","-79.9798718435"
"0125R00087000000","40.4539818361","-79.9066949926"
"0052D00105000000","40.451632354","-79.9358038645"
"0138P00020000000","40.3773098771","-79.9944622077"
"0049F00303000000","40.4694364047","-79.9593535935"
"0114L00115000000","40.4854078532","-80.040465161"
"0002E0005300CU00","40.4396403468","-79.9983361881"
"0085K00003000000","40.446468427","-79.9285692143"
"0051L00035000000","40.4556729394","-79.9378397918"
"0025J00049000000","40.4561914637","-79.9812618033"
"0012S00121000B00","40.4247540061","-79.9662371029"
"0028R00089000000","40.433552341","-79.9544850021"
"0026E00041000000","40.4580430951","-79.9653667311"
"0175E00005000000","40.4500195134","-79.8991725363"
"0096K00033000000","40.3880631805","-80.011809445"
"0008F00118000000","40.4489952397","-80.0086545648"
"0126K00089000000","40.4478049701","-79.9082446487"
"0075K00060000000","40.4748309616","-80.0430510996"
"0083J00122000000","40.4649514019","-79.9316663239"
"0081C00024000000","40.4816765184","-79.9380785203"
"0008B00100000000","40.4514094348","-80.0080927043"
"0054S00018000000","40.4237885123","-79.9351249709"
"0120K00010000000","40.4847439965","-79.9452970359"
"0049E00132000000","40.4695679428","-79.9653329962"
"0036C00046000000","40.4128160095","-80.0404476425"
"0014B00007000000","40.4234944527","-79.9947664643"
"0022D00060000000","40.460932068","-80.0197014994"
"0001D00080000000","40.4425408067","-80.0008583407"
"0009D00254000000","40.4506348221","-79.9878333698"
"0002G00058000000","40.4388724575","-79.9875493127"
"0124R00235000000","40.4630586123","-79.9038583923"
"0126J00185000000","40.4470738431","-79.9134141908"
"0025A00065000000","40.462307671","-79.9786879283"
"0044G00250000000","40.4676674232","-80.0391830421"
"0023L00098000000","40.4558385656","-80.0062742384"
"0012J00283000000","40.4267463965","-79.9798049996"
"0040S00125000000","40.4351453159","-80.0523237705"
"0125S00073000000","40.4550335081","-79.9004683319"
"0026C00326000000","40.4617855589","-79.9537488726"
"0024N00017000000","40.455111946","-79.998484685"
"0005D00001000000","40.4329034093","-80.0202792841"
